"unigram","bigram","freq"
"i","think",521
"i","love",503
"i","dont",497
"i","can",361
"i","know",346
"i","just",330
"i","will",321
"i","want",284
"i","cant",235
"right","now",235
"i","need",205
"i","like",200
"cant","wait",199
"i","feel",187
"i","get",186
"i","hope",183
"look","like",180
"i","got",179
"i","thought",172
"dont","know",167
"feel","like",165
"time","i",160
"i","didnt",155
"i","realli",154
"know","i",152
"now","i",150
"think","i",145
"last","night",140
"day","i",139
"look","forward",137
"i","go",136
"thank","follow",128
"i","hate",116
"so","i",113
"i","use",112
"you","can",111
"im","go",109
"i","still",107
"i","miss",106
"but","i",103
"last","year",102
"new","york",102
"i","guess",101
"like","i",101
"and","i",98
"let","know",97
"i","see",94
"dont","want",93
"happi","birthday",92
"i","never",92
"im","sure",92
"just","got",92
"i","also",91
"thing","i",90
"good","morn",89
"year","ago",89
"i","look",86
"one","day",85
"if","i",84
"come","back",83
"let","go",83
"can","see",82
"dont","think",82
"i","saw",82
"good","luck",81
"i","mean",79
"i","say",78
"next","week",78
"say","i",78
"first","time",77
"follow","back",77
"i","alway",77
"i","wish",77
"make","sure",77
"when","i",77
"year","old",77
"last","week",76
"thank","much",76
"one","i",74
"wish","i",73
"sound","like",72
"i","tri",71
"i","couldnt",70
"mother","day",70
"today","i",70
"i","i",69
"you","know",69
"go","back",68
"i","havent",68
"i","went",67
"year","i",67
"i","said",66
"can","i",65
"get","readi",65
"i","found",65
"i","knew",63
"of","cours",63
"can","get",62
"lol","i",62
"sinc","i",62
"high","school",61
"i","believ",61
"one","thing",61
"dont","get",60
"even","though",60
"i","made",60
"much","i",60
"week","i",60
"yes","i",60
"everi","day",59
"i","ask",59
"im","just",59
"just","like",58
"new","year",58
"though","i",58
"i","start",57
"well","i",57
"i","rememb",56
"get","back",55
"i","felt",55
"i","find",55
"rt","i",55
"see","i",55
"seem","like",55
"that","i",55
"think","im",55
"way","i",55
"i","wonder",54
"work","i",54
"im","gonna",52
"long","time",52
"i","come",51
"i","took",51
"dont","like",50
"join","us",50
"thought","i",50
"everi","time",49
"i","heard",49
"let","us",49
"tri","get",49
"will","get",49
"good","thing",48
"i","work",48
"im","still",48
"next","year",48
"said","i",48
"thank","rt",48
"best","friend",47
"dont","forget",47
"go","i",47
"i","read",47
"i","wanna",47
"social","media",47
"sure","i",47
"the","first",47
"didnt","know",46
"i","might",46
"i","put",46
"like","im",46
"i","told",45
"mani","peopl",45
"someth","i",45
"can","make",44
"love","i",44
"thank","i",44
"then","i",44
"i","wasnt",43
"happi","mother",42
"i","make",42
"just","want",42
"littl","bit",42
"next","time",42
"wait","see",42
"can","help",41
"i","live",41
"night","i",41
"what","i",41
"book","i",40
"dont","care",40
"follow","i",40
"go","get",40
"i","call",40
"i","decid",40
"if","your",40
"last","day",40
"much","better",40
"at","least",39
"didnt","get",39
"girl","i",39
"good","day",39
"i","watch",39
"just","saw",39
"last","time",39
"morn","i",39
"peopl","i",39
"will","make",39
"back","i",38
"give","us",38
"i","suppos",38
"id","like",38
"know","im",38
"make","feel",38
"realli","like",38
"sometim","i",38
"tell","us",38
"all","i",37
"i","came",37
"i","hear",37
"i","wouldnt",37
"unite","state",37
"get","better",36
"great","day",36
"i","bought",36
"i","must",36
"im","realli",36
"need","get",36
"now","im",36
"so","much",36
"want","see",36
"we","need",36
"anyon","els",35
"as","i",35
"cant","believ",35
"good","time",35
"have","great",35
"help","us",35
"hope","see",35
"i","actual",35
"just","i",35
"the","best",35
"great","job",34
"happen","i",34
"i","may",34
"ive","got",34
"mean","i",34
"right","i",34
"want","go",34
"can","also",33
"great","time",33
"hope","i",33
"i","wont",33
"im","sorri",33
"just","dont",33
"life","i",33
"much","fun",33
"pretti","much",33
"dont","even",32
"good","night",32
"i","follow",32
"i","talk",32
"if","dont",32
"look","good",32
"pleas","follow",32
"tonight","i",32
"we","will",32
"ago","i",31
"can","use",31
"cant","get",31
"feel","better",31
"good","i",31
"i","ever",31
"in","fact",31
"stay","tune",31
"take","care",31
"thank","you",31
"want","get",31
"week","ago",31
"yeah","i",31
"he","said",30
"i","realiz",30
"i","take",30
"im","glad",30
"ive","never",30
"ive","seen",30
"let","get",30
"lol","im",30
"look","i",30
"one","favorit",30
"realli","want",30
"san","diego",30
"thank","god",30
"time","get",30
"two","week",30
"will","never",30
"you","dont",30
"better","i",29
"can","tell",29
"go","bed",29
"i","even",29
"im","pretti",29
"just","get",29
"just","need",29
"love","love",29
"make","sens",29
"not","sure",29
"pretti","sure",29
"realli","good",29
"sorri","i",29
"time","year",29
"can","find",28
"can","go",28
"friend","i",28
"got","home",28
"i","agre",28
"i","enjoy",28
"i","learn",28
"just","go",28
"next","day",28
"pretti","good",28
"we","love",28
"what","happen",28
"will","take",28
"your","welcom",28
"ask","question",27
"cours","i",27
"didnt","even",27
"dont","need",27
"even","i",27
"even","know",27
"first","day",27
"follow","us",27
"go","see",27
"good","idea",27
"great","weekend",27
"i","abl",27
"i","left",27
"i","sure",27
"just","finish",27
"last","month",27
"love","u",27
"love","you",27
"man","i",27
"no","one",27
"one","can",27
"san","francisco",27
"take","time",27
"the","last",27
"us","know",27
"will","come",27
"you","will",27
"youv","got",27
"a","lot",26
"believ","i",26
"didnt","want",26
"dont","feel",26
"dont","realli",26
"fact","i",26
"go","go",26
"happi","friday",26
"hope","can",26
"hope","everyon",26
"i","expect",26
"i","happi",26
"i","one",26
"i","plan",26
"i","promis",26
"i","swear",26
"im","get",26
"im","readi",26
"in","addit",26
"it","also",26
"just","say",26
"mani","time",26
"oh","i",26
"post","i",26
"realli","need",26
"school","i",26
"thing","like",26
"whi","i",26
"will","go",26
"doesnt","mean",25
"everyth","i",25
"feel","good",25
"get","i",25
"how","i",25
"i","met",25
"i","tell",25
"i","turn",25
"i","wait",25
"it","just",25
"just","one",25
"just","start",25
"just","watch",25
"love","see",25
"peopl","dont",25
"place","i",25
"take","pictur",25
"that","just",25
"the","new",25
"thing","happen",25
"want","know",25
"am","i",24
"come","soon",24
"d","i",24
"fall","asleep",24
"give","away",24
"good","one",24
"how","mani",24
"i","excit",24
"i","give",24
"i","now",24
"i","wrote",24
"just","cant",24
"later","i",24
"like","one",24
"no","i",24
"past","year",24
"person","i",24
"spend","time",24
"th","centuri",24
"this","week",24
"will","help",24
"will","i",24
"work","hard",24
"world","i",24
"blog","i",23
"can","take",23
"come","home",23
"come","i",23
"dont","worri",23
"feel","free",23
"find","way",23
"guess","i",23
"havent","seen",23
"hey","i",23
"howev","i",23
"i","forgot",23
"i","move",23
"i","walk",23
"i","write",23
"id","love",23
"im","happi",23
"in","case",23
"it","seem",23
"ive","ever",23
"like","see",23
"mind","i",23
"one","person",23
"realli","dont",23
"reason","i",23
"say","im",23
"spread","word",23
"thank","everyon",23
"tomorrow","i",23
"two","day",23
"way","go",23
"will","see",23
"although","i",22
"can","still",22
"felt","like",22
"follow","me",22
"fun","i",22
"get","one",22
"get","rid",22
"ha","ha",22
"happi","new",22
"i","final",22
"its","good",22
"its","like",22
"just","made",22
"look","back",22
"my","mom",22
"new","one",22
"ok","i",22
"omg","i",22
"real","life",22
"some","peopl",22
"thing","go",22
"two","year",22
"anyon","know",21
"ask","i",21
"can","say",21
"come","see",21
"dont","give",21
"follow","thank",21
"happi","hour",21
"home","i",21
"i","keep",21
"i","spent",21
"i","usual",21
"ice","cream",21
"im","excit",21
"im","tire",21
"im","work",21
"it","doesnt",21
"know","what",21
"late","night",21
"littl","girl",21
"look","great",21
"los","angele",21
"much","love",21
"now","that",21
"one","best",21
"peopl","like",21
"pleas","pleas",21
"realiz","i",21
"say","hi",21
"soon","i",21
"the","next",21
"the","one",21
"there","lot",21
"there","mani",21
"think","that",21
"tri","find",21
"we","just",21
"will","alway",21
"will","continu",21
"will","follow",21
"anyth","i",20
"away","i",20
"day","the",20
"find","i",20
"first","i",20
"get","see",20
"got","back",20
"great","i",20
"great","idea",20
"hard","work",20
"how","can",20
"hunger","game",20
"i","appreci",20
"i","mention",20
"i","play",20
"if","want",20
"job","i",20
"kid","i",20
"least","i",20
"mayb","i",20
"miss","i",20
"never","seen",20
"new","zealand",20
"r","u",20
"so","mani",20
"someon","els",20
"thank","u",20
"the","thing",20
"thought","id",20
"tonight","pm",20
"u","r",20
"walk","around",20
"want","hear",20
"weekend","i",20
"would","love",20
"yesterday","i",20
"anyth","els",19
"awkward","moment",19
"boy","i",19
"bring","back",19
"can","never",19
"chanc","win",19
"day","day",19
