"unigram","bigram","trigram","quadgram","freq"
"i","feel","like","i",19
"food","food","food","food",15
"i","dont","know","i",15
"i","feel","like","im",15
"i","cant","wait","see",12
"i","dont","think","i",9
"i","dont","even","know",8
"i","think","i","need",8
"bin","laden","obama","bin",7
"i","think","im","go",7
"laden","obama","bin","laden",7
"obama","bin","laden","obama",7
"happi","mother","day","mother",6
"i","dont","feel","like",6
"cricket","new","zealand","australia",5
"forget","hes","just","pig",5
"i","cant","believ","i",5
"i","realli","dont","want",5
"i","think","i","might",5
"i","thought","id","share",5
"class","dont","cri","class",4
"cri","class","dont","cri",4
"dont","cri","class","dont",4
"happi","birthday","happi","birthday",4
"hes","just","pig","about",4
"i","can","honest","say",4
"i","cant","wait","get",4
"i","cant","wait","till",4
"i","didnt","even","know",4
"i","dont","know","im",4
"i","dont","realli","like",4
"i","dont","think","ive",4
"i","felt","like","i",4
"i","know","i","just",4
"i","think","i","can",4
"i","think","i","like",4
"i","thought","i","go",4
"last","time","i","check",4
"now","i","feel","like",4
"now","i","think","i",4
"one","day","i","will",4
"someth","i","dont","know",4
"the","first","time","i",4
"williston","north","dakota","rental",4
"a","year","ago","i",3
"as","much","i","love",3
"ass","ass","ass","ass",3
"birthday","happi","birthday","happi",3
"can","interview","wednesday","wallingford",3
"cant","come","soon","enough",3
"cant","go","back","sleep",3
"cant","wait","see","friday",3
"celebr","cinco","de","mayo",3
"dont","know","i","like",3
"dont","think","ive","ever",3
"even","though","i","live",3
"everi","time","i","see",3
"father","son","holi","spirit",3
"feel","like","i","havent",3
"follow","me","please","please",3
"good","morn","good","morn",3
"happi","mother","day","mom",3
"happi","new","year","everyon",3
"hope","everyon","great","weekend",3
"i","cant","wait","meet",3
"i","dont","give","a",3
"i","dont","give","fuck",3
"i","dont","know","anyth",3
"i","dont","know","ill",3
"i","dont","know","much",3
"i","dont","think","that",3
"i","honest","dont","know",3
"i","hope","everyon","great",3
"i","hope","i","get",3
"i","just","dont","know",3
"i","just","got","home",3
"i","look","forward","see",3
"i","love","love","love",3
"i","say","i","never",3
"i","still","feel","like",3
"i","think","i","will",3
"i","thought","i","share",3
"i","wanna","go","back",3
"i","want","i","want",3
"i","will","admit","i",3
"i","will","get","back",3
"i","will","i","will",3
"incorpor","item","c","pp",3
"interview","wednesday","wallingford","ct",3
"just","want","make","sure",3
"let","know","i","can",3
"level","mp","cost","durat",3
"make","feel","better","i",3
"mp","cost","durat","second",3
"now","i","know","i",3
"oh","shit","oh","shit",3
"red","bull","mountain","dew",3
"right","now","i","feel",3
"run","run","run","run",3
"see","i","can","find",3
"some","peopl","make","feel",3
"stop","targeting","me","stop",3
"tell","friend","follow","us",3
"thank","follow","look","forward",3
"the","last","time","i",3
"the","next","morn","i",3
"think","i","need","get",3
"us","patent","trademark","office",3
"wednesday","wallingford","ct","show",3
"a","big","thank","you",2
"a","fuck","where","the",2
"a","love","heart","begin",2
"a","midsumm","night","dream",2
"action","speak","louder","word",2
"address","i","will","send",2
"advertis","fee","advertis","link",2
"advertis","link","amazoncom","amazonca",2
"all","i","know","i",2
"all","i","need","i",2
"along","way","johnni","awesom",2
"alreadi","i","can","see",2
"also","write","blog","post",2
"amazon","certain","content","appear",2
"amazon","eu","associat","programm",2
"amazon","eu","this","content",2
"amazon","servic","llc","amazon",2
"amazon","servic","llc","andor",2
"amazonca","amazoncouk","amazond","amazonfr",2
"amazoncom","amazonca","amazoncouk","amazond",2
"amazoncouk","amazond","amazonfr","amazonit",2
"amazond","amazonfr","amazonit","amazon",2
"amazonfr","amazonit","amazon","certain",2
"amazonit","amazon","certain","content",2
"ambigu","defin","period","consecut",2
"andor","amazon","eu","this",2
"anyon","know","i","can",2
"appear","websit","come","amazon",2
"april","fool","day","prank",2
"as","far","i","know",2
"as","i","mention","earlier",2
"associat","programm","design","provid",2
"at","end","day","hes",2
"at","least","didnt","say",2
"at","least","i","dont",2
"back","forth","everi","day",2
"back","onto","road","i",2
"back","work","ive","got",2
"bc","date","jerusalem","destruct",2
"be","sure","leav","comment",2
"beat","okc","beat","okc",2
"begin","dont","leav","undetect",2
"begin","knowledg","thoma","carlyl",2
"behind","time","youll","catch",2
"belgian","style","beer","the",2
"believ","underdog","chase","dream",2
"ben","jerri","ice","cream",2
"bieber","turn","christma","light",2
"big","awesom","ya","giveaway",2
"bird","is","the","word",2
"blog","let","us","know",2
"bluefield","west","virginia","weather",2
"book","i","ever","read",2
"bow","wow","chris","brown",2
"boy","say","can","get",2
"bull","mountain","dew","mix",2
