"unigram","bigram","trigram","freq"
"i","dont","know",94
"i","think","i",78
"i","feel","like",68
"i","dont","think",61
"i","cant","wait",55
"i","know","i",55
"happi","mother","day",42
"i","dont","want",40
"cant","wait","see",34
"i","thought","i",32
"i","wish","i",31
"feel","like","i",29
"i","think","im",28
"i","can","see",27
"let","us","know",26
"i","look","forward",24
"everi","time","i",22
"happi","new","year",22
"right","now","i",22
"i","dont","care",21
"feel","like","im",20
"dont","know","i",19
"i","dont","like",19
"i","didnt","get",18
"i","dont","get",18
"i","just","got",18
"just","got","home",18
"first","time","i",17
"can","i","get",16
"even","though","i",16
"food","food","food",16
"i","cant","believ",16
"i","dont","even",16
"look","forward","see",16
"i","didnt","know",15
"i","dont","realli",15
"i","love","i",15
"i","need","get",15
"i","realli","dont",15
"i","realli","like",15
"much","i","love",15
"i","can","get",14
"i","guess","i",14
"i","know","im",14
"new","york","citi",14
"cinco","de","mayo",13
"i","just","saw",13
"i","love","you",13
"i","realli","want",13
"last","time","i",13
"year","ago","i",13
"i","didnt","want",12
"i","havent","seen",12
"i","just","love",12
"i","just","want",12
"i","want","go",12
"i","will","get",12
"i","will","post",12
"im","pretti","sure",12
"of","cours","i",12
"one","day","i",12
"thank","follow","i",12
"that","awkward","moment",12
"dont","even","know",11
"dont","feel","like",11
"follow","back","pleas",11
"i","cant","help",11
"i","didnt","even",11
"i","just","dont",11
"i","say","i",11
"last","year","i",11
"say","i","love",11
"cant","wait","hear",10
"cant","wait","till",10
"dont","think","i",10
"have","great","weekend",10
"i","dont","feel",10
"i","dont","give",10
"i","hope","everyon",10
"i","just","cant",10
"i","just","need",10
"i","said","i",10
"i","thought","id",10
"know","i","can",10
"know","i","love",10
"last","night","i",10
"love","love","love",10
"right","now","im",10
"cant","wait","get",9
"go","back","sleep",9
"i","can","never",9
"i","can","say",9
"i","can","tell",9
"i","cant","say",9
"i","cant","see",9
"i","get","back",9
"i","go","get",9
"i","hope","i",9
"i","must","say",9
"i","want","i",9
"let","know","i",9
"long","time","i",9
"mother","day","i",9
"new","york","time",9
"now","i","think",9
"one","thing","i",9
"pleas","pleas","pleas",9
"think","i","need",9
"think","im","go",9
"we","look","forward",9
"yes","i","know",9
"a","year","ago",8
"all","i","need",8
"at","end","day",8
"at","least","i",8
"cant","believ","i",8
"doesnt","mean","i",8
"everi","day","i",8
"follow","i","love",8
"have","great","day",8
"i","cant","find",8
"i","cant","go",8
"i","didnt","see",8
"i","dont","believ",8
"i","dont","rememb",8
"i","dont","wanna",8
"i","feel","i",8
"i","felt","like",8
"i","hate","i",8
"i","just","wanna",8
"i","knew","i",8
"i","mean","i",8
"i","miss","i",8
"i","realiz","i",8
"i","think","will",8
"i","want","get",8
"id","like","see",8
"im","sure","will",8
"in","fact","i",8
"it","look","like",8
"it","seem","like",8
"ive","ever","seen",8
"just","got","back",8
"keep","good","work",8
"like","i","said",8
"now","i","just",8
"now","i","know",8
"obama","bin","laden",8
"pleas","let","know",8
"see","i","can",8
"the","last","time",8
"think","i","can",8
"bin","laden","obama",7
"birthday","happi","birthday",7
"cricket","new","zealand",7
"day","i","will",7
"felt","like","i",7
"get","better","i",7
"good","thing","i",7
"hope","everyon","great",7
"i","came","across",7
"i","can","take",7
"i","can","think",7
"i","cant","even",7
"i","cant","sleep",7
"i","couldnt","get",7
"i","decid","i",7
"i","hope","see",7
"i","just","woke",7
"i","know","just",7
"i","know","right",7
"i","know","will",7
"i","look","like",7
"i","love","song",7
"i","love","u",7
"i","need","help",7
"i","still","dont",7
"i","think","one",7
"i","think","that",7
"i","told","i",7
"i","want","know",7
"i","want","see",7
"i","wasnt","sure",7
"i","will","make",7
"im","glad","i",7
"im","realli","excit",7
"im","sorri","i",7
"im","sure","i",7
"just","got","done",7
"just","littl","bit",7
"laden","obama","bin",7
"let","just","say",7
"look","like","im",7
"next","week","i",7
"not","sure","i",7
"now","i","feel",7
"now","i","need",7
"realli","dont","want",7
"run","run","run",7
"st","patrick","day",7
"thought","i","go",7
"you","can","also",7
"you","can","see",7
"you","know","i",7
"=","character","0",6
"all","i","can",6
"am","i","one",6
"and","i","dont",6
"but","i","also",6
"but","i","still",6
"day","i","get",6
"didnt","even","know",6
"dont","give","fuck",6
"dont","know","im",6
"feel","much","better",6
"follow","me","please",6
"girl","i","love",6
"ha","ha","ha",6
"happi","birthday","hope",6
"help","spread","word",6
"high","school","i",6
"hope","i","can",6
"hope","see","soon",6
"i","abl","get",6
"i","also","use",6
"i","alway","want",6
"i","can","hear",6
"i","can","help",6
"i","can","imagin",6
"i","can","make",6
"i","can","rememb",6
"i","can","understand",6
"i","cant","imagin",6
"i","cant","rememb",6
"i","cant","stand",6
"i","didnt","think",6
"i","dont","see",6
"i","go","i",6
"i","high","recommend",6
"i","just","found",6
"i","like","make",6
"i","like","new",6
"i","look","back",6
"i","love","im",6
"i","love","it",6
"i","love","love",6
"i","love","see",6
"i","never","get",6
"i","realli","enjoy",6
"i","realli","hate",6
"i","realli","need",6
"i","still","feel",6
"i","swear","i",6
"i","think","ive",6
"i","think","just",6
"i","think","need",6
"i","think","time",6
"i","wanna","go",6
"i","want","someth",6
"i","will","definit",6
"just","got","new",6
"know","i","i",6
"know","i","like",6
"last","week","i",6
"look","like","i",6
"make","feel","better",6
"mother","day","mother",6
"new","york","ny",6
"next","time","i",6
"now","i","dont",6
"one","way","anoth",6
"pretti","sure","i",6
"rock","n","roll",6
"so","i","guess",6
"someth","i","dont",6
"thank","much","support",6
"the","hunger","game",6
"the","vagina","monologu",6
"today","good","day",6
"today","i","dont",6
"wall","street","journal",6
"we","cant","wait",6
"well","i","guess",6
"yes","yes","yes",6
"you","can","make",6
"all","i","know",5
"all","i","want",5
"by","time","i",5
"can","honest","say",5
"can","i","help",5
"cant","wait","i",5
"cant","wait","meet",5
"cant","wait","share",5
"cant","wait","til",5
"come","back","i",5
"come","see","us",5
"coupl","week","i",5
"day","i","hope",5
"dont","cri","class",5
"dont","get","wrong",5
"dont","realli","like",5
"dont","think","ive",5
"ever","sinc","i",5
"feel","like","go",5
"forget","hes","just",5
"game","right","now",5
"get","thing","done",5
"good","luck","tonight",5
"good","night","sleep",5
"good","right","now",5
